Interessado;UF;Regioes;Tipo Interesse;Tipo Operação;Finalidade;Tipo Credor;Credor;Moeda;Valor;N Processo;Status;Data;Analisado
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Corporação Andina de Fomento;Dólar dos EUA;112.000.000,00;17944.001309/2012-10;Encaminhado à PGFN com manifestação técnica favorável;17/05/2013;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.608.799,94;17944.001495/2005-50;Deferido;30/12/2005;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;275.729.000,00;17944.001634/2008-98;Deferido;26/08/2008;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;200.000.000,00;17944.001639/2014-69;Encaminhado à PGFN com manifestação técnica favorável;29/04/2016;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;630.489.336,75;17944.001994/2013-57;Deferido;05/02/2014;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;158.620.000,00;17944.002014/2008-76;Encaminhado à PGFN com manifestação técnica favorável;22/07/2009;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Saneamento básico;Instituição Financeira Internacional;Kreditanstalt für Wiederaufbau;Euro;8.668.876,94;19407.000001/2002-80;Encaminhado à PGFN com manifestação técnica favorável;11/08/2005;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;55.000.000,00;19407.000016/2006-71;Deferido;30/05/2006;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;71.818.138,00;19407.000025/2006-62;Deferido;30/05/2006;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Real;287.000.000,00;19407.000042/2003-57;Encaminhado à PGFN com manifestação técnica favorável;08/06/2004;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;8.228.000,00;19407.000062/2004-17;Deferido;22/02/2005;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;109.687.688,72;19407.000065/2003-61;Deferido;14/06/2004;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Turismo;Instituição Financeira Internacional;Export-Import Bank of the United States;Dólar dos EUA;105.000.000,00;17944.000646/2015-24;Arquivado a pedido;06/05/2016;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Saúde;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;123.000.000,00;17944.000527/2016-52;Encaminhado à PGFN com manifestação técnica favorável;04/12/2017;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.150.000.000,00;17944.000604/2017-55;Encaminhado à PGFN com manifestação técnica favorável;13/11/2017;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Saneamento básico;Instituição Financeira Internacional;Kreditanstalt für Wiederaufbau;Euro;50.000.000,00;17944.104420/2018-44;Encaminhado à PGFN com manifestação técnica favorável;17/12/2018;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;550.400.000,00;17944.104009/2019-50;Encaminhado à PGFN com manifestação técnica favorável;12/11/2019;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;800.000.000,00;17944.101569/2020-96;Encaminhado à PGFN com manifestação técnica favorável;17/04/2020;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Segurança pública;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;52.156.000,00;17944.100015/2021-52;Encaminhado à PGFN com manifestação técnica favorável;24/09/2021;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Saneamento básico;Instituição Financeira Internacional;Corporação Andina de Fomento;Dólar dos EUA;60.000.000,00;17944.102307/2021-20;Encaminhado à PGFN com manifestação técnica favorável;02/08/2022;STN
Ceará;CE;Nordeste;Estado;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;150.000.000,00;17944.101423/2022-11;Encaminhado à PGFN com manifestação técnica favorável;22/08/2022;STN
Cedral;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;4.000.000,00;PVL02.005541/2021-47;Deferido (PVL-IF);21/12/2021;Instituição Financeira
Cedro;CE;Nordeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;345.400,00;17944.001471/2008-43;Arquivado;10/09/2008;STN
Celso Ramos;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;417.640,00;19406.000175/2008-48;Arquivado;24/04/2008;STN
Celso Ramos;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;900.000,00;17944.000292/2016-07;Arquivado por decurso de prazo;03/11/2016;STN
Celso Ramos;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.170.000,00;17944.000340/2017-30;Deferido;22/05/2017;STN
Centenário;TO;Norte;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;122.755,00;17944.000057/2008-17;Deferido;24/01/2008;STN
Centenário;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;299.450,00;17944.000504/2008-38;Deferido;28/04/2008;STN
Centenário;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;246.000,00;17944.001491/2011-10;Deferido;17/11/2011;STN
Centenário;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;250.000,00;19406.000441/2007-51;Deferido;08/11/2007;STN
Centenário do Sul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;328.000,00;17944.001039/2012-39;Arquivado por decurso de prazo;14/06/2013;STN
Centenário do Sul;PR;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco Regional de Desenvolvimento do Extremo Sul;Real;380.250,00;19406.000647/2008-62;Arquivado;15/09/2008;STN
Central;BA;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;1.800.000,00;17944.000646/2016-13;Arquivado por decurso de prazo;14/10/2016;STN
Central;BA;Nordeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;2.172.439,17;PVL02.001246/2018-16;Deferido (PVL-IF);26/06/2018;Instituição Financeira
Centralina;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;800.000,00;17944.000106/2016-21;Deferido;19/04/2016;STN
Centralina;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;800.000,00;PVL02.003861/2019-48;Em retificação pelo credor (PVL-IF);03/12/2019;Instituição Financeira
Ceres;GO;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;172.700,00;17944.001558/2008-11;Arquivado;09/12/2008;STN
Cerqueira César;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;500.000,00;00000.000000/0056-20;Devolvido;14/05/2010;STN
Cerqueira César;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;4.075.449,89;PVL02.002644/2022-36;Deferido (PVL-IF);01/06/2022;Instituição Financeira
Cerquilho;SP;Sudeste;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;9.000.000,00;17944.000419/2006-16;Arquivado;05/05/2006;STN
Cerrito;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;209.981,00;19406.000340/2008-61;Deferido;02/09/2008;STN
Cerrito;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;6.929.946,49;17944.102276/2019-92;Deferido;11/07/2019;STN
Cerro Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.100.000,00;19406.000202/2008-82;Deferido;17/03/2008;STN
Cerro Branco;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;224.800,00;17944.001802/2011-41;Arquivado por decurso de prazo;22/06/2012;STN
Cerro Branco;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;172.700,00;19406.000389/2008-14;Deferido;02/05/2008;STN
Cerro Grande;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;299.450,00;19406.000032/2009-17;Arquivado;16/03/2009;STN
Cerro Grande;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;401.500,00;19406.000239/2009-91;Deferido;09/04/2010;STN
Cerro Largo;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;3.000.000,00;PVL02.004100/2019-11;Deferido (PVL-IF);02/03/2020;Instituição Financeira
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;270.000,00;00000.000000/0065-98;Devolvido;11/03/2011;STN
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;270.000,00;00000.000000/0066-57;Devolvido;05/04/2011;STN
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;580.000,00;17944.002074/2011-94;Deferido;05/04/2012;STN
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;90.000,00;19406.000108/2002-38;Deferido;29/07/2002;STN
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;285.714,28;19406.000162/2002-83;Deferido;07/08/2002;STN
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;560.000,00;19406.000426/2007-11;Deferido;28/11/2007;STN
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;350.000,00;17944.001228/2015-54;Arquivado por decurso de prazo;14/10/2016;STN
Cerro Negro;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.200.000,00;PVL02.002749/2019-90;Deferido (PVL-IF);02/10/2019;Instituição Financeira
Cesário Lange;SP;Sudeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real;345.400,00;17944.000964/2008-66;Arquivado;09/02/2009;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;930.000,00;17944.000484/2013-62;Deferido;10/07/2013;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;800.000,00;17944.000971/2012-44;Deferido;09/07/2012;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;710.000,00;19406.000789/2006-68;Deferido;14/12/2006;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.450.000,00;17944.000788/2016-72;Deferido;28/06/2016;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;700.000,00;17944.000706/2017-71;Deferido;30/08/2017;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;500.000,00;17944.101248/2017-96;Deferido;08/11/2017;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.500.000,00;17944.100338/2018-41;Arquivado por decurso de prazo;14/08/2018;STN
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;2.300.000,00;PVL02.002244/2018-44;Deferido (PVL-IF);03/10/2018;Instituição Financeira
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.800.000,00;PVL02.000539/2019-67;Deferido (PVL-IF);27/05/2019;Instituição Financeira
Céu Azul;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;550.000,00;PVL02.000355/2021-11;Deferido (PVL-IF);03/05/2021;Instituição Financeira
Cezarina;GO;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Caixa Econômica Federal;Real;237.780,00;00000.000000/0104-45;Devolvido;27/11/2013;STN
Chácara;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;400.000,00;17944.001414/2013-21;Deferido;12/11/2013;STN
Chácara;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;650.000,00;PVL02.002004/2021-45;Deferido (PVL-IF);01/09/2021;Instituição Financeira
Chalé;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;900.000,00;PVL02.006781/2019-44;Deferido (PVL-IF);31/10/2019;Instituição Financeira
Chapada;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;246.000,00;00000.000000/0070-25;Devolvido;20/07/2011;STN
Chapada;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;682.371,00;17944.000525/2012-30;Deferido;13/06/2012;STN
Chapada;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;246.000,00;17944.001087/2011-46;Deferido;18/11/2011;STN
Chapada;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;700.000,00;17944.000534/2017-35;Deferido;31/07/2017;STN
Chapada;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Regional de Desenvolvimento do Extremo Sul;Real;1.373.531,00;PVL02.000310/2019-22;Deferido (PVL-IF);16/08/2019;Instituição Financeira
Chapada do Norte;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;900.000,00;17944.000536/2014-81;Deferido;26/05/2014;STN
Chapada do Norte;MG;Sudeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;321.000,00;17944.001578/2010-14;Arquivado por decurso de prazo;21/01/2013;STN
Chapada do Norte;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;PVL02.007643/2019-82;Deferido (PVL-IF);31/10/2019;Instituição Financeira
Chapada do Norte;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;2.500.000,00;PVL02.007632/2022-06;Em análise (PVL-IF);14/09/2022;Instituição Financeira
Chapada Gaúcha;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;2.000.000,00;17944.001574/2013-71;Deferido;17/12/2013;STN
Chapada Gaúcha;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;17944.000565/2016-13;Deferido;04/05/2016;STN
Chapada Gaúcha;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.500.000,00;PVL02.002946/2019-17;Deferido (PVL-IF);08/08/2019;Instituição Financeira
Chapada Gaúcha;MG;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;2.000.000,00;PVL02.003961/2022-70;Deferido (PVL-IF);29/04/2022;Instituição Financeira
Chapadão do Céu;GO;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;345.400,00;17944.000874/2008-75;Deferido;31/10/2008;STN
Chapadão do Lageado;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;200.000,00;19406.000058/2003-70;Deferido;11/07/2003;STN
Chapadão do Lageado;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;300.000,00;19406.000298/2007-06;Arquivado;24/03/2008;STN
Chapadão do Lageado;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;300.000,00;19406.000509/2008-83;Deferido;27/05/2008;STN
Chapadão do Sul;MS;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.253.400,00;17944.000528/2012-73;Deferido;31/05/2012;STN
Chapadão do Sul;MS;Centro Oeste;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;573.400,00;17944.000851/2008-61;Deferido;09/06/2008;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;5.000.000,00;17944.000226/2014-67;Arquivado por decurso de prazo;20/10/2014;STN
Chapecó;SC;Sul;Município;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Fundo Financeiro para o Desenvolvimento da Bacia do Prata;Dólar dos EUA;14.750.000,00;17944.001267/2007-41;Arquivado;04/09/2007;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;15.000.000,00;19406.000229/2010-90;Deferido;01/09/2010;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;4.653.846,00;19406.000257/2003-88;Deferido;19/12/2003;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;346.154,00;19406.000258/2003-22;Deferido;19/12/2003;STN
Chapecó;SC;Sul;Município;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Fundo Financeiro para o Desenvolvimento da Bacia do Prata;Dólar dos EUA;14.750.000,00;19406.000300/2007-39;Encaminhado à PGFN com manifestação técnica favorável;13/05/2008;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;3.742.500,00;19406.000325/2004-90;Deferido;30/06/2004;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;20.000.000,00;17944.000461/2016-09;Deferido;21/06/2016;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;3.000.000,00;PVL02.005541/2019-22;Deferido (PVL-IF);25/11/2019;Instituição Financeira
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;5.000.000,00;PVL02.007003/2019-72;Deferido (PVL-IF);18/12/2019;Instituição Financeira
Chapecó;SC;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;92.000.000,00;17944.104211/2019-81;Deferido;27/11/2019;STN
Chapecó;SC;Sul;Município;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;300.000.000,00;17944.103483/2021-89;Encaminhado à PGFN com manifestação técnica favorável;29/11/2021;STN
Charqueada;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.500.000,00;PVL02.000570/2020-31;Deferido (PVL-IF);16/03/2020;Instituição Financeira
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;800.000,00;17944.001446/2008-60;Deferido;10/06/2008;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;4.000.000,00;17944.001447/2008-12;Deferido;10/06/2008;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;2.000.000,00;17944.001937/2014-59;Deferido;24/03/2015;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;800.000,00;19406.000004/2007-38;Arquivado;03/04/2007;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;800.000,00;19406.000053/2003-47;Deferido;20/06/2003;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;800.000,00;19406.000083/2010-82;Deferido;16/06/2010;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;274.300,00;19406.000084/2010-27;Deferido;16/06/2010;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;800.000,00;19406.000114/2002-95;Deferido;09/08/2002;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;4.000.000,00;19406.000123/2007-91;Deferido;23/07/2007;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul;Real;800.000,00;19406.000124/2007-35;Deferido;23/07/2007;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;500.000,00;19406.000163/2004-90;Deferido;07/05/2004;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna;Saúde;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;2.000.000,00;19406.000346/2010-53;Deferido;06/10/2010;STN
Charqueadas;RS;Sul;Município;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;8.000.000,00;17944.101607/2022-72;Em análise;14/09/2022;STN
Charrua;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;700.000,00;17944.001071/2015-67;Deferido;02/03/2016;STN
Chavantes;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;1.000.000,00;PVL02.002851/2018-12;Deferido (PVL-IF);30/04/2020;Instituição Financeira
Chavantes;SP;Sudeste;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.850.000,00;PVL02.001001/2020-11;Deferido (PVL-IF);28/05/2021;Instituição Financeira
Chiapetta;RS;Sul;Município;Operação Contratual Interna;Educação;Instituição Financeira Nacional;Banco do Brasil S/A;Real;440.700,00;19406.000144/2010-10;Deferido;13/10/2010;STN
Chiapetta;RS;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;2.500.000,00;PVL02.000261/2022-23;Deferido (PVL-IF);14/04/2022;Instituição Financeira
Chopinzinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.600.000,00;17944.000122/2012-91;Deferido;09/03/2012;STN
Chopinzinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;400.000,00;17944.001391/2013-55;Deferido;12/11/2013;STN
Chopinzinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.000.000,00;19406.000096/2010-51;Deferido;05/04/2010;STN
Chopinzinho;PR;Sul;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;2.700.000,00;17944.000984/2015-66;Deferido;19/11/2015;STN
